date	username	string
2016-11-19T13:23	rbowman0	Solarbreeze
2016-11-23T9:46	tgonzalez1	Bitwolf
2016-04-01T11:18	jtaylor2	Latlux
2016-12-14T18:39	mcox3	Temp
2016-03-11T7:15	hcooper4	Konklux
2016-02-24T12:25	dperkins5	Stringtough
2016-10-25T10:42	mhill6	Gembucket
2016-01-16T20:10	jgraham7	Lotlux
2016-09-26T9:01	jmcdonald8	Regrant
2016-02-11T19:27	carmstrong9	Cardguard
2016-07-04T20:37	jrobinsona	Tres-Zap
2016-10-23T0:06	bgonzalesb	Fix San
2016-01-15T21:44	mbarnesc	Transcof
2016-02-07T15:25	bfloresd	Latlux
2016-03-26T13:20	awhitee	Flexidy
2016-12-05T1:19	lellisf	Cardify
2016-09-30T20:12	estanleyg	Daltfresh
2016-06-18T17:44	dchapmanh	Biodex
2016-07-28T19:53	lmorrisoni	Latlux
2016-09-11T0:53	wthomasj	Veribet
2016-11-10T9:12	sramirezk	Mat Lam Tam
2016-04-30T20:31	jrobertsl	Greenlam
2016-09-14T23:28	rmeyerm	Greenlam
2016-05-07T8:44	pjonesn	Y-find
2016-04-10T5:26	scastilloo	Stringtough
2016-01-21T15:29	kortizp	Duobam
2016-04-20T3:51	tjenkinsq	Alphazap
2016-08-20T10:14	egomezr	Tresom
2016-09-02T13:10	kjacobss	Cardguard
2016-12-27T11:32	dmartint	Fix San
2016-02-05T1:38	jleeu	Subin
2016-03-02T7:38	jgrayv	Gembucket
2016-01-16T13:01	rdiazw	Veribet
2016-09-13T13:10	sthompsonx	Overhold
2016-10-22T19:22	srichardsy	Solarbreeze
2016-10-15T21:31	skimz	Stringtough
2016-04-27T17:45	bhenry10	Bitchip
2016-02-12T4:03	ccrawford11	Keylex
2016-01-04T23:17	hcampbell12	Zaam-Dox
2016-02-04T22:53	mwelch13	Temp
2016-07-12T2:40	jfisher14	Span
2016-03-23T17:18	rchavez15	Duobam
2016-11-11T19:26	jhill16	Asoka
2016-07-02T13:02	treed17	Toughjoyfax
2016-07-08T18:58	dgreene18	Ventosanzap
2016-10-28T18:43	dbishop19	Matsoft
2016-04-20T17:56	jfowler1a	Zoolab
2016-09-01T4:11	aclark1b	Daltfresh
2016-11-06T22:24	sscott1c	Rank
